"","city","gender"
"427","Newport","F"
"428","Barnsley","U"
"429","Gloucester","F"
"430","Reading","F"
"431","Ipswich","U"
"432","Coventry","F"
"433","Doncaster","F"
"434","Cambridge","F"
"435","Coventry","F"
"436","Stoke","F"
"437","Southend","U"
"438","Northampton","F"
"439","Reading","U"
"440","Swansea","F"
"441","Brighton","F"
"442","Slough","F"
"443","Middlesbrough","F"
"444","Derby","F"
"445","Burnley","F"
"446","Birmingham","U"
"447","Southend","F"
"448","Birmingham","F"
"449","Newcastle","M"
"450","Portsmouth","F"
"451","Birkenhead","M"
"452","Leeds","F"
"453","Reading","F"
"454","Mansfield","U"
"455","Bournemouth","U"
"456","Southend","F"
"457","Leicester","M"
"458","Aberdeen","F"
"459","Exeter","F"
"460","Bradford","F"
"461","Burnley","F"
"462","Bristol","F"
"463","Bristol","F"
"464","Sunderland","F"
"465","Leeds","F"
"466","Aldershot","F"
"467","Mansfield","U"
"468","Telford","F"
"469","Blackpool","F"
"470","Newport","F"
"471","Aberdeen","F"
"472","Mansfield","U"
"473","Bradford","F"
"474","Plymouth","F"
"475","Brighton","F"
"476","Belfast","F"
"477","Telford","F"
"478","Derby","M"
"479","Crawley","F"
"480","London","M"
"481","Southampton","F"
"482","Cardiff","F"
"483","Wakefield","U"
"484","Sheffield","F"
"485","Reading","F"
"486","Burnley","F"
"487","Bournemouth","F"
"488","","U"
"489","Cambridge","F"
"490","Barnsley","M"
"491","Burnley","F"
"492","Burnley","M"
"493","Middlesbrough","F"
"494","Huddersfield","F"
"495","Sheffield","U"
"496","Southend","F"
"497","Doncaster","F"
"498","Birkenhead","M"
"499","Aldershot","F"
"500","Milton Keynes","F"
"501","Norwich","U"
"502","Portsmouth","U"
"503","Sheffield","M"
"504","Leicester","F"
"505","Aberdeen","F"
"506","Bournemouth","M"
"507","Plymouth","F"
"508","Hull","U"
"509","Dundee","F"
"510","Hull","F"
"511","Sheffield","M"
"512","Swansea","U"
"513","Northampton","F"
"514","Glasgow","F"
"515","Ipswich","F"
"516","Bradford","F"
"517","Oxford","M"
"518","Milton Keynes","F"
"519","Swindon","F"
"520","Bradford","F"
"521","Milton Keynes","F"
"522","Northampton","F"
"523","Hull","F"
"524","Cardiff","F"
"525","Derby","M"
"526","Barnsley","U"
"527","Sheffield","U"
"528","Preston","F"
"529","Middlesbrough","F"
"530","Nottingham","F"
"531","Burnley","F"
"532","Norwich","U"
"533","Edinburgh","F"
"534","Exeter","F"
"535","Bournemouth","F"
"536","Birkenhead","F"
"537","Blackburn","F"
"538","Swansea","U"
"539","Swindon","F"
"540","Bristol","U"
"541","Oxford","F"
"542","Chatham","M"
"543","Milton Keynes","F"
"544","Swansea","F"
"545","Hull","F"
"546","Blackburn","U"
"547","Cambridge","F"
"548","Newcastle","F"
"549","Slough","U"
"550","Bournemouth","U"
"551","Northampton","F"
"552","Gloucester","F"
"553","Blackpool","F"
"554","Portsmouth","F"
"555","Cambridge","F"
"556","Newport","U"
"557","Northampton","M"
"558","Swansea","U"
"559","Reading","F"
"560","Blackpool","F"
"561","Bournemouth","F"
"562","Burnley","F"
"563","Swindon","F"
"564","Cardiff","U"
"565","Newport","U"
"566","Bournemouth","F"
"567","Sunderland","F"
"568","London","F"
"569","Crawley","U"
"570","Sunderland","U"
"571","Derby","U"
"572","Birkenhead","F"
"573","Peterborough","U"
"574","Norwich","F"
"575","Crawley","F"
"576","Leeds","F"
"577","Ipswich","U"
"578","Derby","U"
"579","Coventry","U"
"580","Southampton","F"
"581","Blackburn","U"
"582","Blackpool","U"
"583","Ipswich","F"
"584","Sunderland","F"
"585","Norwich","F"
"586","Huddersfield","F"
"587","Middlesbrough","F"
"588","Peterborough","F"
"589","Crawley","F"
"590","Leicester","F"
"591","Portsmouth","F"
"592","Burnley","F"
"593","Ipswich","F"
"594","Hull","F"
"595","National Average","U"
"596","Milton Keynes","F"
"597","Peterborough","M"
"598","Mansfield","U"
"599","Newcastle","U"
"600","Doncaster","F"
"601","Ipswich","M"
"602","Cambridge","F"
"603","Crawley","F"
"604","Bristol","M"
"605","Glasgow","M"
"606","Peterborough","U"
"607","Aldershot","F"
"608","Coventry","F"
"609","Blackpool","F"
"610","Northampton","U"
"611","Swansea","F"
"612","Mansfield","F"
"613","Ipswich","F"
"614","Milton Keynes","M"
"615","Blackpool","F"
"616","Liverpool","U"
"617","Reading","F"
"618","Bournemouth","M"
"619","Leicester","F"
"620","Huddersfield","F"
"621","Dundee","F"
"622","Swindon","U"
"623","Oxford","F"
"624","Northampton","F"
"625","Newcastle","F"
"626","Southend","F"
"627","Glasgow","M"
"628","Telford","F"
"629","Birkenhead","M"
"630","Manchester","U"
"631","Swindon","F"
"632","Swansea","U"
"633","Southampton","F"
"634","Liverpool","F"
"635","London","U"
"636","Nottingham","F"
"637","Hull","F"
"638","Chatham","F"
"639","Brighton","F"
"640","Norwich","F"
"641","Telford","F"
"642","Gloucester","F"
"643","Manchester","F"
"644","Dundee","F"
"645","Basildon","U"
"646","Sunderland","U"
"647","Newcastle","M"
"648","Belfast","F"
"649","Liverpool","M"
"650","Middlesbrough","U"
"651","Manchester","F"
"652","Birkenhead","F"
"653","Ipswich","M"
"654","Basildon","F"
"655","Blackpool","F"
"656","Leeds","M"
"657","Southend","F"
"658","Chatham","F"
"659","Swindon","F"
"660","","F"
"661","Belfast","F"
"662","Birkenhead","U"
"663","Derby","U"
"664","Gloucester","M"
"665","Derby","F"
"666","Wakefield","F"
"667","Bournemouth","M"
"668","Portsmouth","U"
"669","Telford","F"
"670","Cambridge","U"
"671","Hull","F"
"672","Barnsley","F"
"673","Liverpool","F"
"674","Basildon","F"
"675","Northampton","F"
"676","Portsmouth","F"
"677","Ipswich","F"
"678","Coventry","F"
"679","Doncaster","U"
"680","Burnley","F"
"681","Swindon","F"
"682","Edinburgh","F"
"683","Southampton","M"
"684","","U"
"685","Sunderland","U"
"686","Stoke","U"
"687","Plymouth","F"
"688","Birmingham","F"
"689","Belfast","F"
"690","Cardiff","M"
"691","Crawley","F"
"692","National Average","F"
"693","Burnley","M"
"694","Bradford","F"
"695","Newport","F"
"696","Milton Keynes","F"
"697","Exeter","F"
"698","Doncaster","U"
"699","Bournemouth","F"
"700","Oxford","F"
"701","National Average","M"
"702","Crawley","F"
"703","Southampton","F"
"704","Leeds","F"
"705","Reading","F"
"706","Newcastle","U"
"707","Chatham","F"
"708","Mansfield","F"
"709","Milton Keynes","F"
"710","Dundee","F"
"711","Slough","F"
"712","Reading","F"
"713","Ipswich","F"
"714","Glasgow","M"
"715","Aldershot","M"
"716","Hull","F"
"717","Birmingham","U"
"718","Newcastle","F"
"719","Crawley","F"
"720","Norwich","U"
"721","Swindon","F"
"722","Bradford","F"
"723","Belfast","F"
"724","Leicester","F"
"725","Cambridge","F"
"726","Newport","F"
"727","Burnley","U"
"728","London","F"
"729","Bournemouth","F"
"730","Leeds","F"
"731","Hull","F"
"732","Nottingham","F"
"733","Plymouth","F"
"734","Brighton","F"
"735","Birmingham","F"
"736","Leicester","U"
"737","Sunderland","M"
"738","Plymouth","U"
"739","Birmingham","F"
"740","Barnsley","F"
"741","Barnsley","F"
"742","Hull","U"
"743","Birmingham","F"
"744","Leicester","F"
"745","Swansea","F"
"746","Crawley","F"
"747","Mansfield","U"
"748","Brighton","U"
"749","Dundee","F"
"750","Leicester","F"
"751","Chatham","F"
"752","Nottingham","U"
"753","Coventry","F"
"754","Basildon","F"
"755","Birkenhead","U"
"756","Cardiff","F"
"757","Blackburn","F"
"758","Plymouth","U"
"759","Crawley","F"
"760","Bristol","F"
"761","Swindon","F"
"762","Hull","F"
"763","Southampton","F"
"764","Cambridge","F"
"765","Coventry","F"
"766","Bradford","F"
"767","Aberdeen","F"
"768","Gloucester","F"
"769","Crawley","U"
"770","London","F"
"771","Middlesbrough","U"
"772","Bournemouth","U"
"773","Leeds","F"
"774","Newcastle","U"
"775","Bradford","F"
"776","Bournemouth","F"
"777","Hull","F"
"778","","U"
"779","Derby","F"
"780","Bradford","F"
"781","Swindon","F"
"782","Peterborough","U"
"783","Sheffield","M"
"784","Oxford","F"
"785","Sheffield","M"
"786","National Average","F"
"787","Coventry","U"
"788","Blackpool","M"
"789","National Average","F"
"790","Blackburn","F"
"791","Southend","U"
"792","Blackburn","F"
"793","Burnley","M"
"794","Reading","M"
"795","Worthing","F"
"796","Coventry","U"
"797","Newport","F"
"798","Birkenhead","U"
"799","Crawley","F"
"800","Gloucester","F"
"801","Blackburn","F"
"802","Liverpool","F"
"803","Liverpool","F"
"804","Bournemouth","F"
"805","Bournemouth","U"
"806","Barnsley","F"
"807","Cardiff","F"
"808","Middlesbrough","F"
"809","Wakefield","F"
"810","Preston","F"
"811","Milton Keynes","U"
"812","Leicester","F"
"813","Middlesbrough","F"
"814","Northampton","F"
"815","Brighton","U"
"816","Aldershot","F"
"817","Edinburgh","F"
"818","Oxford","F"
"819","Peterborough","F"
"820","Reading","F"
"821","Newport","F"
"822","Blackburn","U"
"823","Norwich","U"
"824","Middlesbrough","F"
"825","Preston","F"
"826","Northampton","F"
"827","Slough","U"
"828","Cardiff","U"
"829","Swindon","F"
"830","Preston","F"
"831","Ipswich","F"
"832","Exeter","F"
"833","Chatham","F"
"834","Cardiff","F"
"835","Cambridge","U"
"836","Sunderland","F"
"837","Blackpool","F"
"838","Leicester","U"
"839","Swindon","U"
"840","Glasgow","F"
"841","Ipswich","U"
"842","Oxford","F"
"843","Slough","F"
"844","Milton Keynes","F"
"845","Aberdeen","F"
"846","Manchester","F"
"847","Barnsley","F"
"848","Nottingham","F"
"849","Bristol","F"
"850","Basildon","F"
"851","Mansfield","F"
"852","London","F"
"853","Barnsley","U"
"854","Gloucester","U"
"855","Mansfield","F"
"856","Cambridge","F"
"857","Burnley","F"
"858","Doncaster","U"
"859","Coventry","F"
"860","Hull","M"
"861","Aberdeen","F"
"862","Birmingham","M"
"863","Norwich","F"
"864","Bristol","F"
"865","Burnley","F"
"866","Slough","M"
"867","Nottingham","F"
"868","Bristol","U"
"869","Mansfield","F"
"870","Northampton","F"
"871","Bournemouth","F"
"872","Middlesbrough","F"
"873","Mansfield","F"
"874","Doncaster","M"
"875","Basildon","F"
"876","Slough","U"
"877","Basildon","U"
"878","Swansea","F"
"879","Crawley","F"
"880","Oxford","F"
"881","Plymouth","F"
"882","Stoke","M"
"883","Hull","F"
"884","Aberdeen","U"
"885","","F"
"886","London","F"
"887","Crawley","F"
"888","Basildon","F"
"889","Nottingham","U"
"890","Exeter","F"
"891","Blackburn","F"
"892","Ipswich","F"
"893","Derby","M"
"894","Belfast","F"
"895","Manchester","U"
"896","Swansea","F"
"897","Coventry","F"
"898","Sheffield","F"
"899","Peterborough","U"
"900","Newport","F"
"901","Reading","F"
"902","Ipswich","F"
"903","Coventry","F"
"904","Cambridge","F"
"905","Newport","M"
"906","Sunderland","U"
"907","Liverpool","F"
"908","Crawley","F"
"909","Southampton","F"
"910","Plymouth","F"
"911","Bristol","F"
"912","Northampton","U"
"913","Leicester","F"
"914","Stoke","F"
"915","Exeter","F"
"916","Edinburgh","F"
"917","Dundee","F"
"918","Stoke","F"
"919","Preston","F"
"920","Birkenhead","F"
"921","National Average","F"
"922","Exeter","F"
"923","Coventry","F"
"924","London","F"
"925","Nottingham","F"
"926","Stoke","F"
"927","Bristol","U"
"928","Liverpool","F"
"929","Preston","F"
"930","Telford","F"
"931","London","U"
"932","Nottingham","U"
"933","Southampton","F"
"934","Liverpool","M"
"935","Peterborough","F"
"936","Swansea","U"
"937","Chatham","U"
"938","Barnsley","U"
"939","Wakefield","F"
"940","Middlesbrough","F"
"941","Barnsley","F"
"942","Blackpool","F"
"943","Leeds","F"
"944","Hull","F"
"945","Sheffield","F"
"946","Peterborough","F"
"947","Exeter","F"
"948","Glasgow","F"
"949","Southend","F"
"950","Gloucester","F"
"951","Stoke","F"
"952","Milton Keynes","F"
"953","Manchester","F"
"954","Bristol","F"
"955","Basildon","M"
"956","Sunderland","U"
"957","Plymouth","F"
"958","Huddersfield","F"
"959","Glasgow","F"
"960","Manchester","F"
"961","Dundee","F"
"962","Birmingham","M"
"963","Blackpool","F"
"964","Portsmouth","U"
"965","Sunderland","F"
"966","Sunderland","F"
"967","Wakefield","F"
"968","Southend","F"
"969","Blackpool","F"
"970","Manchester","F"
"971","Swindon","F"
"972","Stoke","F"
"973","Chatham","F"
"974","Oxford","U"
"975","Cambridge","F"
"976","Milton Keynes","U"
"977","London","F"
"978","Burnley","F"
"979","Bradford","F"
"980","Birkenhead","F"
"981","Derby","F"
"982","Brighton","U"
"983","Telford","U"
"984","","M"
"985","Milton Keynes","F"
"986","Blackburn","F"
"987","Leeds","U"
"988","Exeter","F"
"989","Southampton","M"
"990","Birkenhead","U"
"991","Bristol","U"
"992","Bristol","M"
"993","","F"
"994","Telford","M"
"995","Telford","F"
"996","Cambridge","M"
"997","Stoke","F"
"998","Newcastle","F"
"999","Portsmouth","F"
"1000","Birkenhead","F"
"1001","Norwich","U"
"1002","Bradford","F"
"1003","Middlesbrough","M"
"1004","Aberdeen","M"
"1005","Portsmouth","F"
"1006","Stoke","F"
"1007","Doncaster","F"
"1008","Huddersfield","F"
"1009","Exeter","F"
"1010","Middlesbrough","F"
"1011","National Average","M"
"1012","Mansfield","F"
"1013","Nottingham","M"
"1014","","F"
"1015","Dundee","F"
"1016","Sunderland","U"
"1017","Huddersfield","F"
"1018","Crawley","M"
"1019","Leicester","U"
"1020","","F"
"1021","Gloucester","F"
"1022","Wakefield","F"
"1023","Blackburn","U"
"1024","Liverpool","F"
"1025","Southampton","F"
"1026","Milton Keynes","U"
"1027","Northampton","F"
"1028","Barnsley","F"
"1029","Leicester","F"
"1030","Glasgow","F"
"1031","Derby","F"
"1032","Swansea","F"
"1033","Liverpool","M"
"1034","Manchester","U"
"1035","Crawley","F"
"1036","Glasgow","U"
"1037","Newcastle","F"
"1038","Hull","F"
"1039","Dundee","F"
"1040","Warrington","F"
"1041","Middlesbrough","F"
"1042","Oxford","F"
"1043","Chatham","U"
"1044","Plymouth","F"
"1045","Cardiff","M"
"1046","Wakefield","U"
"1047","Mansfield","F"
"1048","Slough","F"
"1049","Telford","U"
"1050","Middlesbrough","F"
"1051","Liverpool","U"
"1052","Northampton","F"
"1053","Oxford","F"
"1054","Slough","F"
"1055","Basildon","F"
"1056","Slough","F"
"1057","Barnsley","F"
"1058","Swindon","F"
"1059","Huddersfield","F"
"1060","Stoke","F"
"1061","Barnsley","F"
"1062","Ipswich","F"
"1063","Southampton","F"
"1064","Telford","F"
"1065","Bradford","F"
"1066","Belfast","F"
"1067","Edinburgh","F"
"1068","Barnsley","F"
"1069","Manchester","F"
"1070","","F"
"1071","Bournemouth","F"
"1072","Doncaster","F"
"1073","Ipswich","F"
"1074","Aldershot","F"
"1075","Aberdeen","F"
"1076","Newcastle","F"
"1077","Ipswich","F"
"1078","Brighton","F"
"1079","Barnsley","M"
"1080","","U"
"1081","Sheffield","F"
"1082","Southampton","M"
"1083","Doncaster","U"
"1084","Slough","F"
"1085","Norwich","F"
"1086","Preston","U"
"1087","Chatham","F"
"1088","National Average","F"
"1089","Blackburn","F"
"1090","","M"
"1091","Peterborough","F"
"1092","Exeter","F"
"1093","Nottingham","U"
"1094","Bradford","F"
"1095","Leicester","F"
"1096","Ipswich","F"
"1097","Edinburgh","F"
"1098","Belfast","U"
"1099","Edinburgh","F"
"1100","Telford","U"
"1101","Birmingham","F"
"1102","Newport","F"
"1103","Milton Keynes","F"
"1104","Plymouth","U"
"1105","Dundee","F"
"1106","Portsmouth","F"
"1107","Newport","M"
"1108","Peterborough","F"
"1109","London","F"
"1110","Milton Keynes","U"
"1111","Bradford","U"
"1112","","F"
"1113","Leeds","F"
"1114","","F"
"1115","Swindon","F"
"1116","Southampton","F"
"1117","Huddersfield","M"
"1118","Swindon","F"
"1119","Slough","U"
"1120","Derby","F"
"1121","Blackpool","F"
"1122","Aldershot","F"
"1123","Mansfield","U"
"1124","Doncaster","M"
"1125","Nottingham","M"
"1126","Preston","U"
"1127","Burnley","U"
"1128","Gloucester","F"
"1129","Birkenhead","F"
"1130","Burnley","U"
"1131","Middlesbrough","U"
"1132","Norwich","U"
"1133","Warrington","U"
"1134","Burnley","F"
"1135","","F"
"1136","Blackpool","F"
"1137","Coventry","M"
"1138","Doncaster","M"
"1139","Birkenhead","M"
"1140","Belfast","U"
"1141","Hull","F"
"1142","Blackburn","F"
"1143","Aldershot","M"
"1144","Northampton","F"
"1145","Southend","U"
"1146","Huddersfield","F"
"1147","Southend","F"
"1148","Ipswich","F"
"1149","Slough","F"
"1150","Ipswich","F"
"1151","Slough","U"
"1152","Manchester","F"
"1153","Mansfield","F"
"1154","Nottingham","U"
"1155","Southampton","M"
"1156","Reading","F"
"1157","Peterborough","F"
"1158","Middlesbrough","F"
"1159","Liverpool","F"
"1160","Derby","F"
"1161","Leeds","F"
"1162","Gloucester","F"
"1163","Exeter","U"
"1164","Gloucester","F"
"1165","Dundee","F"
"1166","Preston","F"
"1167","Brighton","F"
"1168","Telford","F"
"1169","Portsmouth","U"
"1170","Edinburgh","F"
"1171","Ipswich","F"
"1172","Birkenhead","F"
"1173","London","F"
"1174","Blackpool","F"
"1175","Milton Keynes","M"
"1176","Wakefield","F"
"1177","Glasgow","M"
"1178","Coventry","F"
"1179","Plymouth","F"
"1180","Huddersfield","F"
"1181","Northampton","F"
"1182","Sheffield","M"
"1183","Reading","F"
"1184","Nottingham","F"
"1185","Northampton","F"
"1186","Brighton","F"
"1187","Edinburgh","F"
"1188","Coventry","F"
"1189","Manchester","F"
"1190","Gloucester","F"
"1191","Swansea","F"
"1192","Leeds","F"
"1193","Wakefield","F"
"1194","Portsmouth","M"
"1195","Portsmouth","M"
"1196","Swindon","F"
"1197","Birkenhead","F"
"1198","Nottingham","F"
"1199","National Average","F"
"1200","Cambridge","F"
"1201","Preston","F"
"1202","Bradford","M"
"1203","Sunderland","U"
"1204","Swindon","F"
"1205","Manchester","U"
"1206","Aldershot","F"
"1207","Leeds","F"
"1208","Northampton","F"
"1209","Coventry","F"
"1210","Newport","U"
"1211","Ipswich","U"
"1212","Sheffield","F"
