Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1942    3.1    3.1    5.9   11.2   13.0   14.6   16.2   16.1   13.7   10.5    7.3    7.5    4.42  10.00  15.68  10.49   10.23
1943    5.0    7.3    8.3   10.7   12.8   15.4   16.9   15.0   13.8   11.8    7.2    5.6    6.58  10.61  15.78  10.91   10.83
1944    6.7    5.3    7.1   11.0   11.8   14.5   16.8   17.6   13.3   10.1    6.0    5.2    5.87   9.94  16.31   9.82   10.46
1945    1.9    7.2    9.7   10.7   12.9   15.3   17.6   17.2   15.4   12.8    8.7    6.4    4.65  11.12  16.72  12.31   11.34
1946    4.8    6.0    7.2   11.1   13.6   14.5   16.2   15.5   14.2   10.4    8.1    4.8    5.73  10.62  15.44  10.89   10.56
1947    3.9    0.2    3.4    8.9   14.0   15.3   17.3   20.7   14.7   12.1    7.2    5.7    3.04   8.75  17.80  11.36   10.35
1948    4.0    5.7   10.2   10.4   13.5   14.6   16.6   14.8   13.8   10.4    8.9    6.7    5.11  11.37  15.32  11.06   10.81
1949    6.4    6.9    6.9   10.6   12.9   16.4   17.5   16.8   16.2   12.0    7.8    5.7    6.64  10.09  16.93  12.01   11.37
1950    5.8    5.0    8.6    8.3   12.9   16.5   16.8   16.6   12.8   10.3    5.9    2.3    5.51   9.99  16.66   9.68   10.19
1951    3.9    3.8    4.8    7.4   11.7   15.1   16.4   15.2   14.6   11.7    8.6    6.2    3.33   7.98  15.56  11.62    9.98
1952    2.9    5.1    7.4   11.2   14.2   14.0   17.0   15.9   11.8    9.7    5.1    4.5    4.68  10.93  15.63   8.89    9.91
1953    5.8    6.3    8.9    8.6   13.8   16.1   15.8   16.6   15.0   11.5    9.0    7.4    5.50  10.45  16.17  11.83   11.26
1954    4.6    3.6    6.6   10.2   13.0   14.5   14.8   15.0   12.8   11.3    7.5    6.8    5.24   9.92  14.76  10.53   10.09
1955    3.2    2.0    5.3   11.5   11.5   15.2   19.8   19.1   15.4   10.2    8.8    5.4    4.08   9.41  18.04  11.42   10.66
1956    4.0    3.4    7.7    9.1   13.4   14.4   16.1   13.9   14.6   10.6    7.9    7.0    4.30  10.06  14.80  11.04   10.20
1957    6.5    5.1    9.4   10.7   12.5   16.5   16.1   15.8   12.6   11.4    7.7    6.1    6.25  10.86  16.13  10.55   10.89
1958    4.5    4.6    4.2    9.2   11.7   14.9   16.8   16.1   16.3   11.8    8.3    5.1    5.05   8.36  15.92  12.12   10.31
1959    2.6    6.3    8.4   10.2   14.8   16.0   17.1   17.8   16.4   13.6    8.2    6.0    4.61  11.13  16.98  12.77   11.48
1960    4.8    4.2    7.1   10.8   14.9   17.3   16.1   16.0   14.2   10.6    7.4    4.5    5.03  10.94  16.50  10.73   10.68
1961    4.4    7.2    9.5   10.1   12.6   14.7   15.0   15.6   14.9   11.1    6.6    3.3    5.29  10.74  15.12  10.90   10.44
1962    5.4    6.1    4.3    9.4   11.7   15.2   15.2   14.6   12.7   11.5    6.4    5.0    4.89   8.46  14.97  10.23    9.81
1963    1.5    2.1    7.4    9.4   11.6   15.8   15.6   14.6   13.6   11.5    7.1    4.8    2.89   9.46  15.32  10.74    9.62
1964    6.1    5.7    5.7    9.9   13.5   14.6   15.8   15.2   14.2   10.4    8.1    4.9    5.53   9.68  15.20  10.88   10.34
1965    4.0    5.2    6.3    9.7   12.0   15.1   14.1   15.3   13.1   11.5    4.9    4.2    4.64   9.33  14.84   9.86    9.64
1966    3.7    4.2    7.7    7.1   12.5   15.6   15.9   15.1   14.2   10.3    6.0    5.3    4.04   9.12  15.54  10.18    9.84
1967    5.2    6.1    7.2    9.4   10.9   15.6   15.9   16.1   14.4   10.3    7.3    5.7    5.53   9.15  15.89  10.64   10.36
1968    5.1    3.1    7.0    9.8   10.4   16.2   15.2   16.5   14.2   11.9    6.8    4.8    4.66   9.05  15.99  10.99   10.11
1969    5.5    2.2    4.6    9.0   11.6   16.1   17.0   17.3   14.3   13.4    5.0    4.8    4.23   8.37  16.80  10.96   10.12
1970    4.2    3.4    5.3    7.8   13.2   17.8   14.5   16.8   14.1   10.9    7.0    5.7    4.20   8.76  16.33  10.67   10.09
1971    5.6    6.3    7.0    9.8   13.5   13.4   17.1   15.9   15.5   12.2    7.2    8.1    5.86  10.10  15.48  11.61   10.99
1972    4.6    5.0    7.4    9.8   12.1   13.1   16.8   15.5   13.4   12.2    6.9    6.7    5.92   9.79  15.13  10.81   10.30
1973    5.5    5.3    8.4    8.2   11.9   15.6   16.5   16.7   14.1   10.3    6.6    5.6    5.85   9.52  16.28  10.35   10.44
1974    6.8    6.1    6.8   11.4   12.6   15.1   15.1   16.0   12.5    8.8    6.9    7.5    6.17  10.26  15.39   9.41   10.49
1975    6.6    5.8    6.0    9.1   11.5   16.1   17.1   18.9   13.3   11.5    7.3    7.3    6.65   8.89  17.39  10.71   10.91
1976    5.9    5.8    6.0    9.8   12.4   16.6   18.9   19.1   13.4   10.8    7.1    2.6    6.33   9.40  18.22  10.42   10.71
1977    3.6    4.2    7.5    8.0   12.5   14.2   17.2   16.4   13.1   12.4    6.3    6.5    3.44   9.35  15.99  10.58   10.20
1978    3.8    3.0    7.1    7.8   14.2   14.9   15.2   15.3   13.6   12.0    8.7    4.4    4.47   9.71  15.11  11.47   10.04
1979    2.0    2.7    4.6    8.2   10.5   15.3   15.7   15.0   13.7   11.4    7.1    5.3    3.06   7.77  15.36  10.76    9.34
1980    3.3    5.7    5.3   10.7   14.1   14.8   15.4   15.9   14.5    9.2    7.0    6.5    4.72  10.04  15.39  10.22   10.21
1981    5.7    4.8    7.4   10.1   13.5   14.1   15.7   16.9   14.8    8.1    7.8    1.9    5.69  10.35  15.56  10.24   10.10
1982    3.9    6.3    7.1   10.3   13.3   15.3   17.8   16.2   13.7   10.9    7.5    5.2    3.97  10.24  16.46  10.70   10.65
1983    6.6    3.7    7.2    7.7   10.8   14.6   18.9   18.3   13.0   10.7    8.2    7.1    5.20   8.57  17.29  10.66   10.62
1984    3.0    5.3    5.7   10.7   13.0   15.2   18.0   18.4   13.0   11.2    7.8    6.7    5.14   9.80  17.26  10.69   10.70
1985    2.6    4.9    5.8    9.2   12.3   13.9   15.9   14.8   13.3   11.9    4.9    6.0    4.73   9.08  14.87  10.06    9.65
1986    3.8    1.7    6.7    7.2   11.9   16.1   15.7   14.1   12.9   11.1    8.5    5.7    3.91   8.61  15.30  10.84    9.66
1987    3.0    5.1    5.4   11.0   11.7   13.1   16.3   15.8   13.8    9.7    7.0    6.3    4.57   9.35  15.09  10.17    9.88
1988    5.0    5.4    6.6    9.4   13.5   16.5   15.3   15.7   13.8   10.6    7.4    8.3    5.59   9.83  15.84  10.60   10.64
1989    8.3    6.5    7.5    8.0   13.6   15.4   18.9   16.0   14.1   11.6    7.2    4.5    7.72   9.71  16.77  10.98   11.00
1990    6.7    6.6    8.6    9.7   14.1   14.7   17.2   16.9   13.3   11.3    6.9    5.7    5.90  10.83  16.29  10.53   11.02
1991    4.3    3.9    8.5    9.4   12.8   13.3   18.1   17.6   15.0   10.4    7.4    6.7    4.68  10.21  16.37  10.92   10.66
1992    6.2    6.9    7.4    9.1   14.9   17.0   16.0   15.2   13.2    8.6    7.3    4.9    6.58  10.46  16.07   9.69   10.56
1993    6.1    7.0    7.7   10.0   12.1   14.9   14.8   14.9   13.4    8.9    6.0    4.3    5.96   9.90  14.89   9.42   10.02
1994    5.0    3.7    6.6    8.9   12.2   14.4   17.8   15.9   13.4   10.6    9.9    6.7    4.34   9.23  16.02  11.28   10.45
1995    4.9    5.7    5.5    9.5   12.5   16.0   18.6   20.1   14.2   13.0    8.6    3.1    5.76   9.16  18.24  11.94   11.01
1996    5.4    4.4    5.4    9.8   10.7   15.4   16.5   17.3   15.3   12.0    6.0    4.3    4.31   8.61  16.41  11.08   10.21
1997    4.7    6.7    8.9   10.5   12.6   14.8   18.0   19.3   14.6   11.3    9.0    6.7    5.21  10.69  17.40  11.59   11.45
1998    5.9    8.7    8.0    8.4   13.6   14.3   15.4   15.9   15.2    9.9    7.3    7.1    7.05  10.02  15.21  10.79   10.82
1999    5.4    5.5    7.8   10.6   13.3   14.5   17.8   16.8   15.8   11.5    8.5    4.7    6.01  10.56  16.38  11.94   11.05
2000    6.5    6.4    8.5    8.9   14.1   14.6   16.4   17.2   14.9   11.1    7.1    5.6    5.84  10.52  16.09  11.05   10.97
2001    4.0    4.9    5.9    9.0   15.0   14.4   16.5   16.8   13.8   13.1    8.8    5.5    4.83  10.00  15.93  11.92   10.68
2002    7.0    6.4    8.3   10.9   13.5   15.3   16.0   17.6   15.6    9.9    8.4    5.5    6.29  10.90  16.31  11.29   11.22
2003    5.5    6.0    9.9   12.4   12.9   16.9   18.6   18.8   15.5   10.5    9.3    6.3    5.65  11.73  18.11  11.76   11.91
2004    5.8    6.3    8.2   10.7   14.2   15.6   16.5   17.9   15.0   10.5    8.7    7.4    6.13  11.03  16.67  11.39   11.42
2005    7.1    5.5    8.4   10.3   12.3   16.2   17.2   16.9   15.4   12.5    7.8    6.4    6.71  10.36  16.76  11.90   11.37
2006    6.0    5.9    5.4    9.5   13.2   17.0   20.3   16.8   16.9   13.0    8.8    7.0    6.10   9.35  18.06  12.87   11.67
2007    7.3    6.7    8.6   13.3   12.8   15.5   16.2   16.0   14.0   12.8    8.6    6.3    7.00  11.55  15.94  11.81   11.54
2008    6.2    7.7    6.8    9.5   15.3   15.3   17.7   16.6   14.4   10.4    7.5    5.3    6.68  10.55  16.57  10.77   11.07
2009    5.3    5.5    8.3   11.9   13.7   16.6   17.7   16.9   15.0   11.9    8.2    3.6    5.36  11.27  17.07  11.68   11.24
2010    3.0    3.5    7.4   10.7   12.8   17.0   16.7   16.2   14.7   11.2    5.6    1.7    3.39  10.30  16.62  10.49   10.07
2011    4.8    6.5    7.9   13.6   13.1   14.8   17.0   15.5   15.1   12.2   10.6    6.0    4.27  11.50  15.77  12.59   11.43
2012    5.8    7.1   10.9    8.6   13.3   14.0   15.6   17.3   13.5    9.5    7.4    5.0    6.27  10.97  15.64  10.13   10.68
2013    5.0    5.4    4.2    8.6   12.4   15.7   19.8   17.3   14.7   12.1    7.3    7.6    5.13   8.41  17.63  11.35   10.88
2014    5.8    6.2    8.6   11.5   13.5   16.7   19.0   15.8   16.1   12.1    9.1    6.0    6.53  11.18  17.18  12.42   11.72
2015    5.2    5.8    7.7   10.9   11.2   14.5   15.9   16.7   14.7   12.4    8.8    8.3    5.67   9.92  15.68  11.97   11.03
2016    5.4    5.2    8.0    8.7   14.1   16.0                                              6.33  10.27
